Tempo_ms,Configuracao,Eq1,Eq2,Eq3,Eq4
0,13,1,1,0,1
10,13,1,1,0,1
20,13,1,1,0,1
30,13,1,1,0,1
40,13,1,1,0,1
50,13,1,1,0,1
60,13,1,1,0,1
70,13,1,1,0,1
80,13,1,1,0,1
90,13,1,1,0,1
100,13,1,1,0,1
110,5,0,1,0,1
120,5,0,1,0,1
130,13,1,1,0,1
140,13,1,1,0,1
150,13,1,1,0,1
160,13,1,1,0,1
170,13,1,1,0,1
180,0,0,0,0,0
190,5,0,1,0,1
200,5,0,1,0,1
210,5,0,1,0,1
220,5,0,1,0,1
230,5,0,1,0,1
240,5,0,1,0,1
250,5,0,1,0,1
260,5,0,1,0,1
270,5,0,1,0,1
280,5,0,1,0,1
290,1,0,0,0,1
300,1,0,0,0,1
310,1,0,0,0,1
320,1,0,0,0,1
330,1,0,0,0,1
340,1,0,0,0,1
350,1,0,0,0,1
360,1,0,0,0,1
370,1,0,0,0,1
380,1,0,0,0,1
390,5,0,1,0,1
400,13,1,1,0,1
410,0,0,0,0,0
420,10,1,0,1,0
430,10,1,0,1,0
440,10,1,0,1,0
450,10,1,0,1,0
460,10,1,0,1,0
470,10,1,0,1,0
480,10,1,0,1,0
490,10,1,0,1,0
500,10,1,0,1,0
