Tempo_ms,Configuracao,Eq1,Eq2,Eq3,Eq4
0,13,1,1,0,1
10,13,1,1,0,1
20,5,1,1,0,1
30,5,1,1,0,1
40,10,1,1,0,1
50,10,1,1,0,1
60,0,1,1,0,1
70,0,1,1,0,1
80,13,1,1,0,1
90,13,1,1,0,1
100,5,1,1,0,1
110,5,0,1,0,1
120,10,0,1,0,1
130,10,1,1,0,1
140,0,1,1,0,1
150,0,1,1,0,1
160,13,1,1,0,1
170,13,1,1,0,1
180,5,0,0,0,0
190,5,0,1,0,1
200,10,0,1,0,1
210,10,0,1,0,1
220,0,0,1,0,1
230,0,0,1,0,1
240,13,0,1,0,1
250,13,0,1,0,1
260,5,0,1,0,1
270,5,0,1,0,1
280,10,0,1,0,1
290,10,0,0,0,1
300,0,0,0,0,1
310,0,0,0,0,1
320,13,0,0,0,1
330,13,0,0,0,1
340,1,0,0,0,1
350,1,0,0,0,1
360,1,0,0,0,1
370,1,0,0,0,1
380,1,0,0,0,1
390,5,0,1,0,1
400,13,1,1,0,1
410,0,0,0,0,0
420,10,1,0,1,0
430,10,1,0,1,0
440,10,1,0,1,0
450,10,1,0,1,0
460,10,1,0,1,0
470,10,1,0,1,0
480,10,1,0,1,0
490,10,1,0,1,0
500,10,1,0,1,0
